listing_id,host_id,host_name,host_location,host_is_superhost,neighborhood,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,estimated_occupancy_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,first_review,last_review,calculated_host_listings_count,host_has_profile_pic,host_identity_verified,has_availability,occupancy_rate,amenities_count,availability_ratio,estimated_occupancy_from_calendar
12799126,69729286,Musab,"Albany, NY",False,Sixth Ward,42.65154,-73.76867,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,2.0,"[""Smoke alarm"", ""Kitchen"", ""Trash compactor"", ""Wifi"", ""Hot water"", ""Hair dryer"", ""Dryer"", ""Carbon monoxide alarm"", ""Bed linens"", ""Luggage dropoff allowed"", ""Bathtub"", ""Cooking basics"", ""Baking sheet"", ""Shampoo"", ""Iron"", ""Hot water kettle"", ""Host greets you"", ""Dedicated workspace"", ""Microwave"", ""Heating"", ""Exercise equipment"", ""Washer"", ""Extra pillows and blankets"", ""Long term stays allowed"", ""Oven"", ""Toaster"", ""Essentials"", ""Lock on bedroom door"", ""Laundromat nearby"", ""Shared patio or balcony"", ""Single level home"", ""Books and reading material"", ""Clothing storage: closet"", ""HDTV with Netflix"", ""Barbecue utensils"", ""Window AC unit"", ""Dishes and silverware"", ""Hangers"", ""Refrigerator"", ""Blender"", ""Freezer"", ""Free street parking"", ""Cleaning products"", ""Bidet"", ""Stove""]",5,300,0,15,45,320,29,1,0,10,4.83,4.9,4.59,4.83,4.9,4.72,4.76,0.43,2020-08-23,2025-08-09,2,True,True,True,0.0273972602739726,45,0.8767123287671232,0.12328767123287676
13083497,1364123,Akhilesh,"Albany, NY",True,Fifteenth Ward,42.66972,-73.82753,Entire home,Entire home/apt,6,2.0,2 baths,4.0,4.0,"[""Smoke alarm"", ""Kitchen"", ""Dishwasher"", ""Private patio or balcony"", ""Ethernet connection"", ""Gas stove"", ""Wifi"", ""Hot water"", ""Coffee maker"", ""Private entrance"", ""Hair dryer"", ""Carbon monoxide alarm"", ""Private backyard \u2013 Not fully fenced"", ""Bed linens"", ""Bathtub"", ""Cooking basics"", ""Ceiling fan"", ""Shampoo"", ""Iron"", ""Central air conditioning"", ""Safe"", ""Hot water kettle"", ""Microwave"", ""Dining table"", ""Heating"", ""Extra pillows and blankets"", ""Long term stays allowed"", ""Oven"", ""BBQ grill"", ""Portable fans"", ""Free driveway parking on premises \u2013 2 spaces"", ""Exterior security cameras on property"", ""Toaster"", ""Essentials"", ""Laundromat nearby"", ""Garden view"", ""Books and reading material"", ""Children\u2019s books and toys"", ""Free washer \u2013 In unit"", ""Dishes and silverware"", ""Hangers"", ""Refrigerator"", ""Self check-in"", ""Babysitter recommendations"", ""Freezer"", ""Free street parking"", ""Fire extinguisher"", ""Free dryer \u2013 In unit"", ""Keypad"", ""40 inch HDTV with standard cable"", ""High chair"", ""Clothing storage: walk-in closet, closet, wardrobe, and dresser""]",2,1125,24,52,79,338,196,9,0,54,4.67,4.81,4.72,4.89,4.87,4.8,4.77,1.67,2016-07-01,2025-12-30,1,True,True,True,0.14794520547945206,52,0.9260273972602739,0.07397260273972606
14316232,36438637,Chad,"Albany, NY",False,Tenth Ward,42.65726,-73.78219,Private room in home,Private room,1,1.0,1 shared bath,1.0,1.0,"[""Smoke alarm"", ""Kitchen"", ""Dishwasher"", ""Wifi"", ""Hot water"", ""Hair dryer"", ""TV"", ""Carbon monoxide alarm"", ""Bed linens"", ""Luggage dropoff allowed"", ""Bathtub"", ""Cooking basics"", ""Baking sheet"", ""Iron"", ""Dedicated workspace"", ""Microwave"", ""Dining table"", ""Long term stays allowed"", ""Oven"", ""Toaster"", ""Essentials"", ""Lock on bedroom door"", ""Free driveway parking on premises"", ""Books and reading material"", ""Clothing storage: closet"", ""Central heating"", ""First aid kit"", ""Free washer \u2013 In unit"", ""Window AC unit"", ""Dishes and silverware"", ""Hangers"", ""Refrigerator"", ""Blender"", ""Self check-in"", ""Freezer"", ""Free street parking"", ""Fire extinguisher"", ""Coffee maker: drip coffee maker, Keurig coffee machine"", ""Free dryer \u2013 In unit"", ""Cleaning products"", ""Keypad"", ""Stove"", ""Shared backyard \u2013 Fully fenced""]",18,1125,15,32,46,321,54,2,0,72,4.69,4.81,4.59,4.94,4.75,4.66,4.77,0.47,2016-08-07,2025-05-08,2,True,True,True,0.19726027397260273,43,0.8794520547945206,0.1205479452054794
14989805,4259750,Peter,"Albany, NY",True,Fifteenth Ward,42.673512,-73.819679,Entire home,Entire home/apt,7,2.0,2 baths,2.0,2.0,"[""Smoke alarm"", ""Kitchen"", ""Dishwasher"", ""Wifi"", ""Hot water"", ""Coffee maker"", ""Hair dryer"", ""Outdoor dining area"", ""Carbon monoxide alarm"", ""Paid crib"", ""Pack \u2019n play/Travel crib - available upon request"", ""Bathtub"", ""Children\u2019s dinnerware"", ""Cooking basics"", ""Shampoo"", ""Iron"", ""Central air conditioning"", ""Dedicated workspace"", ""Microwave"", ""Heating"", ""Pets allowed"", ""Electric stove"", ""Oven"", ""BBQ grill"", ""Exterior security cameras on property"", ""Essentials"", ""Outdoor furniture"", ""Garden view"", ""First aid kit"", ""Baby bath"", ""Children\u2019s books and toys"", ""Free washer \u2013 In unit"", ""Dishes and silverware"", ""Free parking on premises"", ""Hangers"", ""Refrigerator"", ""Self check-in"", ""Free street parking"", ""Game console"", ""Fire extinguisher"", ""Free dryer \u2013 In unit"", ""Private backyard \u2013 Fully fenced"", ""Keypad"", ""Board games"", ""Lake access"", ""55 inch HDTV with Amazon Prime Video, Apple TV, Hulu, Netflix, premium cable, Roku, standard cable"", ""High chair""]",1,730,17,47,77,352,134,25,1,150,4.96,4.96,4.92,4.99,4.98,4.86,4.69,1.19,2016-11-13,2026-01-27,8,True,True,True,0.410958904109589,47,0.9643835616438357,0.03561643835616435
15580397,89705052,Share,"Albany, NY",False,Ninth Ward,42.65651,-73.77887,Private room in home,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Smoke alarm"", ""Clothing storage: closet and dresser"", ""Wifi"", ""Shower gel"", ""Hot water"", ""Coffee maker"", ""Hair dryer"", ""Body soap"", ""Mini fridge"", ""Carbon monoxide alarm"", ""Bed linens"", ""Bathtub"", ""Shampoo"", ""Iron"", ""Dedicated workspace"", ""Microwave"", ""Dining table"", ""Heating"", ""Extra pillows and blankets"", ""Long term stays allowed"", ""Portable fans"", ""Exterior security cameras on property"", ""Toaster"", ""Essentials"", ""Lock on bedroom door"", ""Laundromat nearby"", ""Books and reading material"", ""Conditioner"", ""Dishes and silverware"", ""Hangers"", ""Self check-in"", ""Free street parking"", ""Fire extinguisher"", ""Cleaning products"", ""Keypad"", ""40 inch HDTV with Fire TV, Netflix, Amazon Prime Video, Disney+, HBO Max, Hulu""]",1,1125,30,60,90,106,55,8,0,48,4.69,4.85,4.8,4.87,4.75,4.82,4.75,0.52,2017-05-29,2025-11-20,2,True,True,True,0.13150684931506848,36,0.29041095890410956,0.7095890410958905
16531782,5691268,Elizabeth,"Albany, NY",True,Fourteenth Ward,42.66075,-73.80605,Private room in guest suite,Private room,2,1.0,1 private bath,1.0,1.0,"[""Smoke alarm"", ""Kitchen"", ""Wifi"", ""Hot water"", ""Coffee maker"", ""Private entrance"", ""Hair dryer"", ""Carbon monoxide alarm"", ""Luggage dropoff allowed"", ""Shampoo"", ""Iron"", ""Dedicated workspace"", ""Heating"", ""Long term stays allowed"", ""HDTV"", ""Patio or balcony"", ""Essentials"", ""Outdoor furniture"", ""Single level home"", ""Free parking on premises"", ""Dishes and silverware"", ""Window AC unit"", ""Hangers"", ""Refrigerator"", ""Sun loungers""]",1,1125,23,51,78,350,560,79,3,255,4.78,4.86,4.67,4.87,4.79,4.92,4.85,8.04,2020-05-28,2026-01-28,2,True,True,True,0.6986301369863014,25,0.958904109589041,0.04109589041095896
17238066,61700428,Abdullah,"Albany, NY",False,Fifth Ward,42.67614,-73.78169,Private room in home,Private room,1,,1.5 shared baths,,,"[""Smoke alarm"", ""Kitchen"", ""Wifi"", ""Hot water"", ""Coffee maker"", ""Hair dryer"", ""Carbon monoxide alarm"", ""Bed linens"", ""Cooking basics"", ""Shampoo"", ""Host greets you"", ""Safe"", ""Free dryer \u2013 In building"", ""Microwave"", ""Heating"", ""Extra pillows and blankets"", ""Long term stays allowed"", ""Oven"", ""Essentials"", ""Laundromat nearby"", ""Books and reading material"", ""Clothing storage: closet"", ""First aid kit"", ""Dishes and silverware"", ""Hangers"", ""Refrigerator"", ""Free washer \u2013 In building"", ""Free street parking"", ""Fire extinguisher"", ""Breakfast"", ""Stove""]",15,112,29,59,89,364,132,0,0,0,4.92,4.91,4.53,4.96,4.96,4.67,4.94,1.23,2017-04-23,2024-08-01,2,True,True,True,0.0,31,0.9972602739726028,0.002739726027397249
17514620,36438637,Chad,"Albany, NY",False,Tenth Ward,42.6584,-73.78309,Private room in home,Private room,1,1.0,1 shared bath,1.0,1.0,"[""Smoke alarm"", ""Kitchen"", ""Dishwasher"", ""Wifi"", ""Hot water"", ""Hair dryer"", ""TV"", ""Carbon monoxide alarm"", ""Bed linens"", ""Luggage dropoff allowed"", ""Bathtub"", ""Cooking basics"", ""Baking sheet"", ""Iron"", ""Dedicated workspace"", ""Microwave"", ""Dining table"", ""Long term stays allowed"", ""Oven"", ""Backyard"", ""Toaster"", ""Essentials"", ""Lock on bedroom door"", ""Shared patio or balcony"", ""Free driveway parking on premises"", ""Books and reading material"", ""Clothing storage: closet"", ""Central heating"", ""First aid kit"", ""Free washer \u2013 In unit"", ""Window AC unit"", ""Dishes and silverware"", ""Hangers"", ""Refrigerator"", ""Blender"", ""Self check-in"", ""Freezer"", ""Coffee maker: drip coffee maker"", ""Free street parking"", ""Fire extinguisher"", ""Free dryer \u2013 In unit"", ""Cleaning products"", ""Keypad"", ""Stove""]",18,1125,0,0,0,259,56,0,0,0,4.75,4.71,4.57,4.93,4.95,4.7,4.66,0.52,2017-03-15,2024-11-02,2,True,True,True,0.0,44,0.7095890410958904,0.2904109589041096
18341426,4259750,Peter,"Albany, NY",True,Fifteenth Ward,42.67637,-73.82395,Entire home,Entire home/apt,6,1.0,1 bath,2.0,3.0,"[""Shower gel"", ""Coffee maker"", ""Hair dryer"", ""Mini fridge"", ""Luggage dropoff allowed"", ""Central air conditioning"", ""Rice maker"", ""Pets allowed"", ""Exterior security cameras on property"", ""Toaster"", ""Coffee"", ""Organic body soap"", ""Crib"", ""Dishwasher"", ""Ethernet connection"", ""Outdoor dining area"", ""Cooking basics"", ""Iron"", ""Room-darkening shades"", ""Wine glasses"", ""Dedicated workspace"", ""Organic conditioner"", ""Microwave"", ""Heating"", ""Long term stays allowed"", ""Oven"", ""Essentials"", ""Single level home"", ""Books and reading material"", ""Free washer \u2013 In unit"", ""Children\u2019s books and toys"", ""Hangers"", ""Refrigerator"", ""Fire extinguisher"", ""Cleaning products"", ""Stove"", ""Kitchen"", ""Clothing storage: closet and dresser"", ""Wifi"", ""Hot water"", ""Private entrance"", ""Table corner guards"", ""Private backyard \u2013 Not fully fenced"", ""Bed linens"", ""Bathtub"", ""Ceiling fan"", ""Baking sheet"", ""Safe"", ""Portable fans"", ""Outdoor furniture"", ""Self check-in"", ""Blender"", ""Babysitter recommendations"", ""Freezer"", ""Free street parking"", ""Free dryer \u2013 In unit"", ""Keypad"", ""High chair"", ""Outlet covers"", ""Exercise equipment: free weights, yoga mat"", ""Smoke alarm"", ""Private patio or balcony"", ""Baby safety gates"", ""Carbon monoxide alarm"", ""Shampoo"", ""Hot water kettle"", ""Dining table"", ""Free carport on premises \u2013 3 spaces"", ""Extra pillows and blankets"", ""Bose sound system"", ""65 inch HDTV with Netflix, premium cable, Hulu, Roku, Amazon Prime Video"", ""Private sauna"", ""BBQ grill: gas"", ""Drying rack for clothing"", ""Laundromat nearby"", ""Garden view"", ""Pack \u2019n play/Travel crib"", ""First aid kit"", ""Barbecue utensils"", ""Baby bath"", ""Dishes and silverware"", ""Game console"", ""Board games"", ""Private gym in building""]",2,1125,30,60,90,365,58,0,0,0,4.97,4.93,5.0,4.98,5.0,4.97,4.79,0.6,2018-03-12,2024-08-13,8,True,True,True,0.0,84,1.0,0.0
19527043,15223767,Ed,"Albany, NY",True,Ninth Ward,42.65312,-73.78161,Private room in home,Private room,2,1.0,1 private bath,1.0,1.0,"[""Smoke alarm"", ""Kitchen"", ""Dishwasher"", ""Wifi"", ""Hot water"", ""Coffee maker"", ""Hair dryer"", ""Dryer"", ""TV"", ""Carbon monoxide alarm"", ""Cooking basics"", ""Iron"", ""Microwave"", ""Heating"", ""Washer"", ""Oven"", ""Air conditioning"", ""Essentials"", ""Lock on bedroom door"", ""Shared patio or balcony"", ""Free parking on premises"", ""Dishes and silverware"", ""Hangers"", ""Refrigerator"", ""Self check-in"", ""Free street parking"", ""Fire extinguisher"", ""Keypad"", ""Stove""]",1,1125,0,0,15,195,90,8,0,48,4.96,4.97,4.94,4.98,4.94,4.94,4.93,1.01,2018-10-17,2025-11-07,3,True,True,True,0.13150684931506848,29,0.5342465753424658,0.4657534246575342
